구분,음식명,영문,음식설명
김치,쪽파김치,Spring Onion Kimchi,A kimchi made of lightly salted spring onions mixed with kimchi seasonings.
찌개,찌개,Stew,"Thicker and more strongly flavored than soups, stews can be categorized by the main seasoning (red chili pepper paste stew, soybean paste (doenjang) stew, or pickled shrimp stew) or by their main ingredient (fish stew, dubu stew, or meat stew)."
만두,찐만두,Steamed Dumplings,Dumplings cooked in a steamer.
찜,찜,"Braised, Simmered or Steamed Dishes","The main ingredients, either meat or fish, are seasoned and simmered until the liquid is reduced and the ingredients take on the full flavor of the seasoning."
밥,찰밥,Cooked Sweet Rice,"Cooked sweet rice with red beans, jujubes (Korean dates), and chestnuts. Sugar, soy sauce and sesame oil are added to bring out the flavor."
양념,참기름,Sesame Oil,Oil pressed from roasted sesame seeds. One of the main seasonings in Korean cooking.
양념,참깨,Sesame (Seeds)(2),Sesame seeds are an indispensable ingredient in Korean cooking. They are either roasted and used directly or ground with a little salt.
채소류,참나물,Cham Namul,"A wild leafy green with a strong scent, blanched or served fresh with various seasonings as a side dish."
과일류,참외,Korean Honey Melon,"A small, oval melon with a smooth, yellow rind and white ridges running lengthwise. Along with the watermelon, this is one of the most common summer fruits."
곡류,찹쌀,Sweet Rice,Sweet rice is stickier than plain white rice and is often used to make rice cake.
떡,찹쌀부꾸미,Pan-fried Sweet Rice Cake with Fillings,"Round, fiat cakes made with glutinous rice flour that are pan-fried, folded in half, and stuffed with a variety of fillings."
젓갈,창란젓,Pickled Pollack Innards,"Pollack innards cleaned and preserved in a sauce of red chili pepper powder, garlic and ginger. After fermentation, this dish becomes a salty side dish."
죽,채소죽,Rice Porridge with Vegetables,"A rice porridge made with vegetables such as summer squash, green onions, bean sprouts, and pumpkin."
마른찬,채소튀김,Deep-fried Vegetables,Vegetables dipped in a flour batter and deep-fried.
회,천엽회,Beef Tripe Tartare,"Beef tripe washed clean with salt then cut into thin strips and served raw. The pieces are dipped in a mixture of salt, black pepper and sesame oil before eating."
해조류,청각,Sea Staghorn,"A type of sea plant used as a topping for traditional water kimchi. lt can also be blanched, then seasoned and served as a side dish."
찌개,청국장찌개,Cheonggukjang (Extra Strong Soybean Paste) Stew,"A stew made with a thick soybean paste called cheonggukjang (similar to Japanese natto) with dubu (soybean curd / tofu), fully fermented kimchi, and pork. This paste is thicker and has a stronger smell than the regular soybean paste (doenjang). Also called dambukjang-jjigae."
구이,청어구이,Grilled Herring,Herring sprinkled with salt or marinated in a spiced soy sauce and grilled.
청주,청주,Clear Rice Wine (2),"A clear, refined rice wine made from a thicker rice wine that has been strained several times. This type of rice wine is similar to Japanese sake."
양념,초간장,Vinegared Soy Sauce,A mixture of soy sauce and vinegar. This tangy dipping sauce is served with fish dishes or pan-fried vegetables and meat patties.
양념,초고추장,Red Chili Pepper Paste with Vinegar,Red chili pepper paste mixed with vinegar and sugar to make a more liquid dipping sauce with a sweet and sour taste. This sauce is most commonly served with raw fish dishes.
"국,탕",초교탕,Battered Meat and Vegetable Soup,"A soup with chicken, beef, shiitake mushrooms, bellflower root (dorajij and minari (Korean parsley) which have been seasoned, dipped in a fleur batter, and cooked in broth."
김치,총각김치,Whole Radish Kimchi,"A kimchi made of young white radishes used whole with the stems and leaves. The radishes are seasoned with red chili pepper powder, green onions, garlic, ginger and fish sauce, then left to cure. lt literally means bachelor kimchi, because the stems are reminiscent of the long ponytails of unmarried men in traditional times. Also called altari kimchi."
"국,탕",추어탕,Loach Soup,"A thick, strongly flavored soup made of fresh loach simmered with vegetables, soybean paste (doenjang), and red chili pepper paste."
나물,취나물,Wild Aster Namul,A side dish made with blanched wild aster (a vegetable found in the mountains) that has been seasoned or stir-fried with other ingredients.
마른찬,칠보편포,Ground Beef Jerky with Pine Nuts,Dried ground beef jerky garnished with pine nuts.
음청류,칡차,Arrowroot Tea,A tea made with the juice pressed from wild arrowroot. Powdered arrowroot can also be used.
면,칼국수,Home-style Noodle Soup,"A soup made of wheat flour noodles flattened and cut by hand, served in a hot chicken or beef broth and topped with clams, julienned summer squash, and a seasoning sauce."
찜,코다리찜,Simmered Half-dried Pollack,"Half-dried pollack marinated in a sauce of red chili pepper paste, soy sauce, sugar, green onions, ginger, sesame oil and black pepper, then simmered over low heat."
두류,콩,Bean (Soybean),"Soybeans are used to make soy sauce, dubu (soybean curd / tofu), and oil."
"국,탕",콩국,Chilled White Bean Soup,"A soup made with white soybeans that have been soaked for five to six hours, drained, boiled, and then pureed. The puree is strained to make this creamy, chilled soup."
면,콩국수,Noodles in Chilled White Bean Soup,Chilled white bean soup made of pureed soybeans served with noodles and garnished. with julienned cucumber and watermelon. Sometimes white sesame seeds are added to the puree. This dish is eaten in the hot summer.
나물,콩나물,Soybean Sprout Namul,Sprouts about 5-7 centimeters long made from soybeans soaked in water. An inexpensive and popular ingredient for many Korean dishes.
"국,탕",콩나물국,Soybean Sprout Soup,A clear soup with soybean sprouts.
무침,콩나물무침,Seasoned Soybean Sprout Namul,"Blanched bean sprouts seasoned with green onions, garlic, soy sauce and sesame oil. This is one of the most common side dishes served in Korean homes."
밥,콩나물밥,Rice Cooked with Soybean Sprouts,White rice cooked with soybean sprouts.
나물,콩나물잡채,Soybean Sprouts with Vegetable Medley,"A vegetable medley made of soybean sprout stems, fresh bellflower root, fiddlehead, sliced Korean pear, white radish and carrots tossed with a seasoning of green onions, garlic, vinegar, red chili pepper powder, salt and ground pine nuts. A regional specialty of southwestern Korea."
떡,콩찰떡,Sweet Rice Cake with Beans,Steamed rice cake made with glutinous rice flour and black beans. Sometimes made by adding white rice flour to bean flour and water.
밥,콩밥,Cooked Rice with Beans,"Rice cooked with various beans, such as black beans, green peas, or kidney beans. Served as an alternative to plain white rice."
김치,콩잎김치,Soybean Leaf Kimchi,A variation of kimchi made of salted soybean leaves mixed with sliced radish and fish sauce and laid between the cabbage leaves.
조림,콩자반,Glazed Black Beans,A side dish made of black beans simmered in soy sauce and sugar until glazed.
죽,콩죽,Bean and Rice Porridge,A rice porridge made with soybeans that have been soaked in water and pureed.
구이,콩팥구이,Grilled Beef Kidney,"Beef kidney seasoned with salt and sesame oil, then grilled."
"국,탕",탕,Soup,The traditional word referring to soup. Dishes with names that end in ~tang are all soups that have been simmered for a long time over low heat.
나물,탕평채,Mung Bean Jelly Mixed with Vegetables and Beef,"Slices of mung bean jelly mixed with vegetables, dried laver, and seasoned ground beef. Served cold."
"국,탕",토란국,Taro Soup,Soup of taro (a root vegetable) lightly cooked in water before adding beef and kelp.
찜,토란줄기찜,Braised Taro Stems,"Dried taro stems that have been soaked in water, dipped in flour batter, and braised with green onions, garlic and other spices."
"국,탕",토장국,Thick Soybean Paste Soup,A thick soup made of one part soybean paste (doenjang) and red chili pepper paste added to five parts water. Vegetables added to this soup vary according to the region and the season.
젓갈,토하젓,Pickled Freshwater Shrimps,"A fish sauce made of freshwater shrimps pickled in salt, red chili pepper powder and sometimes green chili peppers, garlic, green onions and sesame seeds."
나물,톳나물,Seasoned Bushy Seaweed,A fresh side dish made of a bushy brown seaweed that has been blanched and seasoned.
구이,통닭구이,Grilled Whole Chicken,Grilled chicken served with either a spicy chili sauce or soy sauce.
김치,통배추김치,Whole Chinese Cabbage Kimchi,"The basic kimchi made in large quantities in early winter. Whole Chinese cabbages are first salted and then a kimchi sauce made of julienned white radish, red chili pepper powder, garlic, green onions, and fish sauce is spread between the layers of cabbage leaves. The seasoned cabbages are put in earthenware jars and left to cure for some time before eating. Also called pogi­kimchi."
마른찬,튀각,Deep-fried Seaweed or Vegetables,"Deep-fried seaweed or the leaves and stems of various vegetables, served as a crispy snack or a side dish. Dried seaweed is the most popular ingredient for this dish."
한과,튀밥,Puffed Rice,Crispy rice flakes puffed like popcorn.
채소류,파,Green Onion (Spring Onion),"Along with garlic, green onions are an integral part of Korean cooking and are chopped and used to flavor most Korean dishes, including meats, fish and vegetables. Green onions are also cooked whole in pajeon (green onion pancake) and pa-kimchi (a variation of kimchi made with green onions instead of cabbage)."
회,파강회,Meat and Vegetable Bundles Tied with Green Onion,"Bundles of meat, chili peppers, and julienned egg garnish tied with blanched green onions and topped with pine nuts. Served with a dipping sauce of vinegared red chili pepper paste."
김치,파김치,Green Onion Kimchi,"A kimchi made with lightly salted green onions seasoned with pickled anchovy sauce, garlic and red chili pepper powder."
해조류,파래,Grassy Seaweed,"A dark green grass-like seaweed that grows in small bunches. lt is used fresh, seasoned and dried, deep-fried, and put in soups."
무침,파래무침,Seasoned Grassy Seaweed,"Blanched grassy seaweed seasoned with soy sauce, sugar and black pepper, or a mixture of pickled anchovy sauce, garlic, green onions and red chili pepper powder."
"국,탕",파랫국,Grassy Seaweed Soup with Soybean Paste,A soup of grassy seaweed in a broth made of dried anchovies and soybean paste (doenjang). A regional specialty of Jeju-do.
"전,적",파전,Green Onion Pancake,"Pancakes made of an egg, wheat flour and rice flour batter pan-fried with green onions, chives, beef, clams, mussels and other ingredients."
생채,파채,Seasoned Green Onion,"Finely copped green onions mixed with red chili pepper powder, soy sauce, vinegar, sesame salt and sesame oil. This dish is used to garnish or accompany grilled or pressed meats and is most common in southeastern Korea."
"국,탕",팟국,Green Onion Soup,A soup of beef broth with chopped green onions. A beaten egg is added to the soup just before serving.
곡류,팥,Red Bean(s),
떡,시루떡,Red Bean Rice Cake,A crumbly rice cake made of layers of rice flour and ground red bean steamed together and cut into squares. This is the most common type of steamed rice cake.
밥,팥밥,Rice with Red Beans,Rice cooked with red beans to give it flavor and color. The red beans are steamed in advance then cooked again with the rice.
죽,팥죽,Rice and Red Bean Porridge,"A rice porridge made with red beans. After boiling the beans, they are strained to produce a liquid which is added to the cooked rice porridge. Sometimes small rice balls are added . This dish is made specially to celebrate the winter solstice."
구이,패주구이,Grilled Scallops,Seasoned scallops often grilled with beef and mushrooms.
만두,편수,Summer Dumplings,Square dumplings filled with seasoned ground beef and vegetables. Served in the summer.
편육,편육,Pressed Meat,Beef or pork cooked in boiling water and pressed. Served in thin slices with seasoned soy sauce.
마른찬,편포,Ground Beef Jerky,"Minced beef that is seasoned, formed into flat patties, and dried."
면,평양냉면,Pyeongyang-style Chilled Buckwheat Noodle Soup,"A soup of buckwheat noodles served in a chilled beef and radish broth and topped with sliced Korean pear, cold meats, white radish kimchi, and a hard­boiled egg. Originates in Pyeongyang, the North Korean capital."
마른찬,포,Beef or Fish Jerky,"Dried meat or fish marinated in soy sauce, sugar, and black pepper."
버섯류,표고버섯,Shiitake Mushroom,
"전,적",표고전,Pan-fried Shiitake Mushroom,"Shiitake mushrooms coated in flour, dipped in an egg batter, and pan-fried. The mushroom is often filled with minced beef and other ingredients."
채소류,풋고추,Young Green Chili Peppers,"Young green chili peppers that are picked before they turn red. Eaten fresh, or chopped and added to stews or stir-fries."
한과,한과,Traditional Sweets,Many types of traditional Korean sweets and cookies. They vary according to ingredients and preparation method.
기타,한정식,Korean Table d'Hote,"A traditional set menu of various dishes served with rice, soup, kimchi and side dishes."
회,한치물회,Raw Cuttle fish in Water,"Fresh cuttlefish cleaned, thinly sliced, and served in chilled water."
밥,한치회덮밥,Seasoned Raw Cuttle fish over Rice,Thin slices of fresh cuttlefish served over rice with vinegared red chili pepper paste and mixed before eating.
면,함흥냉면,Hamheung-style Spicy Chilled Noodles,Chewy noodles made from potato starch and served chilled with a spicy chili sauce. The most popular version is topped with raw skate. This style of chilled noodles originates in the Hamheung region of North Korea.
죽,합자죽,Rice Porridge with Clams and Mussels,Rice porridge served with shelled clams and mussels and seasoned with garlic juice.
생채,해물겨자채,Sliced Seafood with Mustard Sauce,"Julienned jellyfish, squid and cucumber dressed with a mustard sauce."
찌개,해물된장찌개,Thick Soybean Paste Stew with Seafood,"A thick soybean paste (doenjang) stew made with clams, shrimp, crab and other seafood."
"전,적",해물전,Pan-fried Seafood,"Scallops, clams, mussels, shrimp and oysters dipped in a flour and egg batter and pan-fried."
전골,해물전골,Seafood Hot Pot,"Seafood such as fish, clams, shrimp, and squid cooked in a hot pot with vegetables and beef."
전,해물파전,Seafood Pancake with Green Onion,Pancakes made of a flour and egg batter pan-fried with a layer of green onions and seafood.
패류,해삼,Sea Cucumber,"An Asian delicacy, in Korea the sea cucumber is usually served freshly sliced with a dipping sauce of vinegared red chili pepper paste. lt is also dried for preservation, then soaked in water and added to other seafood dishes."
회,해삼초회,Raw Sea Cucumber Slices,"Fresh sea cucumbers cleaned , sliced and served raw with vinegared soy sauce or a vinegared red chili pepper paste."
"국,탕",해삼탕,Sea Cucumber Soup,"A soup made of dried sea cucumbers soaked in water, seasoned, and cooked with minced beef, onions and cucumbers. Sometimes, the rehydrated sea cucumbers are cooked in a soup seasoned with soy sauce and sesame oil."
"국,탕",해장국,Hangover Soup,"A thick soup made from ox bone broth with soybean paste(doenjang), soybean sprouts, white radish, green onions and sometimes ox blood. Also called early morning soup, it is a traditional home-style soup eaten alter a night of heavy drinking."
생채,해파리냉채,Jellyfish Cold Plate,"A cold plate of thinly sliced jellyfish, cucumber, Korean pear and cold cuts mixed in a mustard sauce with garlic, soy sauce, vinegar and sugar."
밥,헛제삿밥,Andong-style Bibimbap,"A variation of bibimbap topped with cooked beef, mackerel, dubu (soybean curd / tofu), egg, white radish, spinach, soybean sprouts and other cooked vegetables and mixed together before eating. Traditionally served at the annual ancestor worship ceremonies in the village of Andong in southeastern Korea."
견과류,호두,Walnut(s),
조림,호두조림,Glazed Walnuts,"Seasoned beef sauteed on its own then simmered with walnuts until glazed. ln some cases, the beef is left out and the walnuts are glazed on their own."
채소류,호박,Pumpkin (Squash),
떡,호박고지떡,Pumpkin Rice Cake,"A rice cake made of dried pumpkin mixed with glutinous rice flour, layered with red bean, and steamed. Popular in the southwestern region of Jeolla-do."
김치,호박김치,Pumpkin Kimchi,A variation of the basic cabbage kimchi with sliced pumpkin added between the layers of cabbage leaves. This is a specialty of the Hwanghae-do region in North Korea and is popular as a base for kimchi stew.
나물,호박나물,Squash Namul,"Summer squash julienned and sauteed with green chili peppers, garlic, sesame oil and soy sauce."
죽,호박범벅,Pumpkin and Mixed Grain Porridge,"A thick porridge made of steamed and mashed pumpkin with glutinous rice flour, cooked red beans, and soybeans."
볶음,호박볶음,Sauteed Squash,"Squash sliced into half moons and pan-fried with pickled shrimp sauce, wild sesame oil, green onions, and garlic."
선,애호박선,Stuffed Summer Squash,"Squash lightly cooked, then slit lengthwise and stuffed with seasoned ground beef, sliced mushrooms, and julienned egg garnish. The stuffed squash is coated in starch, steamed, and served with a mustard sauce."
쌈,호박잎쌈,Pumpkin Leaf Wraps,Steamed pumpkin leaves used to wrap spoonfuls of rice and other food. Served with a red chili pepper paste sauce.
전,호박전,Pan-fried Summer Squash,"Squash sliced into thin round pieces, coated in flour and egg batter, and pan-fried."
죽,호박죽,Pumpkin Porridge,"A porridge made of fully ripe pumpkins steamed and mashed, then mixed with wheat flour or glutinous rice flour and simmered until thick. Sweetened with sugar or red beans."
어류,홍어,Skate,
찜,홍어찜,Steamed Skate,"Skate steamed in soy sauce, garlic, red chili threads, green onions, sugar, black pepper and sesame oil. ln Jeolla-do, the skate is usually fermented before cooking. Also called hongeo-eosiuk."
회,홍어회,Spicy Skate in Vinegar,"Slices of fresh skate dipped in vinegar, then mixed with red chili pepper powder and other spices. This spicy skate is the main ingredient in Hamheung-style chilled noodles."
패류,홍합,Mussels,
"국,탕",홍합미역국,Seaweed Soup with Mussels,A soup made with seaweed and fresh mussels. Dried mussels are used when fresh ones are not available.
죽,홍합죽,Rice Porridge with Mussels,A rice porridge with mussels and ground beef. A popular dish for the elderly and for babies starting on solid foods. Also called damchaejuk.
초,홍합초,Braised Mussels,"Mussels braised in soy sauce, sugar, black pepper and sesame oil until reduced."
"전,적",화양적,Beef and Vegetable Brochette (3),"Brochettes of beef, bellflower roots (doraji), carrots, shiitake mushrooms, cucumbers and other ingredients cut into strips, sauteed in soy sauce and sesame oil, then put onto skewers and pan-fried."
떡,화전,Pan-fried Sweet Rice Cake with Flower Petals,"Round, fiat rice cakes made of glutinous rice flour, decorated with minced jujubes (Korean dates) or petals of colorful flowers such as azalea, rose, chrysanthemum, and pan-fried. The fried cakes are sprinkled with sugar while still warm."
음청류,화채,Korean Fruit Punch,A sweet drink made of various fruits in omija (fruit of the Chinese magnolia vine) punch sweetened with sugar or honey. Azalea petals are sometimes added for color.
구이,황태구이,Seasoned and Grilled Dried Pollack,"Freeze-dried pollack grilled with a seasoning of soy sauce, red chili pepper paste, green onions, garlic, sesame oil, sugar and black pepper."
회,회,Raw Seafood,"The word raw fish (hoe) usually refers to raw fish dishes similar to Japanese sashimi. However, hoe includes other raw or lightly cooked dishes including other seafoods and meats. Yukhoe refers to a raw beef (see Korean beef steak tartare) and sukhoe are dishes that are only lightly cooked (see parboild squid)."
면,회냉면,Spicy Chilled Noodles with Raw Skate,Hamheung-style buckwheat noodles mixed with a spicy sauce and topped with raw or fermented skate. Served cold.
밥,회덮밥,Raw Fish and Vegetables over Rice,Slices of raw fish and fresh vegetables served in a bowl over rice with vinegared red chili pepper paste. Mixed thoroughly before eating.
죽,흑임자죽,Black Sesame and Rice Porridge,A porridge made of white rice and ground black sesame seeds. Popular as a high energy food.
떡,흰떡,White Rice Cake,"Rice cake made from white rice flour. The rice cakes are steamed then beaten or kneaded to give them texture. The cakes can be made into cylindrical rice pasta, garaetteok or into square jeolpyeon."
죽,흰죽,Rice Porridge,"A porridge made of white rice only. The rice is soaked in water, added to plenty of water (about 6-7 times of the amount of rice) then simmered over medium heat until thick."
