±¸ºĞ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
±¸ÀÌ,¿Áµ¼±¸ÀÌ,Grilled Tilefish ,Tilefish sprinkled with salt and grilled.
"±¹,ÅÁ",¿Àµ¼¹Ì¿ª±¹,Tilefish and Seaweed Soup ,A soup made of tilefish fillets cooked with seaweed. A regional specialty of Jeju-do.
Á×,¿Áµ¼Á×,Rice Porridge with Tilefish ,Rice porridge with tilefish. The fish is added to the rice and simmered until thick.
¸é,¿Â¸é,Buckwheat Noodle Soup ,A warm buckwheat noodle soup in a beef broth served with kimchi. Also refers to all hot noodles.
¹ä,¿Â¹İ/¿ø¹İ,Chicken Soup with Rice,Cooked rice in a chicken broth topped with seasoned chicken. A specialty of the Pyeongan-do region in North Korea.
Âî°³,¿ÎÀúÁö,Braised Radish with Beef and Mushroom,Large radish pieces simmered over low heat with seasoned beef slices and mushrooms. Some variations use pork or fish instead of beef. This dish is popular during autumn when radishes are in season.
"Àü,Àû,Æ¢±è",¿ÏÀÚÀü,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd "
"±¹,ÅÁ",¿ÏÀÚÅÁ,Fish or Meatball Soup ,"A soup of small beef, pork, or chicken meatballs and fish in a clear meat broth. The balls are dipped in egg before they are put in the soup."
"±¹,ÅÁ",¿ëºÀÅÁ,Chicken and Crusian Carp Soup,"A soup of chicken and crusian carp with shiitake mushrooms, jujubes (Korean dates), and chestnuts. This soup is said to be an aphrodisiac."
"±¹,ÅÁ",¿ì°ÅÁş±¹/¿ì°ÅÁöÅÁ,Chinese Cabbage Soup (2) ,A soup made of the green leaves of the Chinese cabbage in a soybean paste (doenjang) broth.
Âò,¿ìµĞÂò,Rump Stew with Vegetables ,"A stew of beef rump with shiitake mushrooms, white radish, chestnuts and gingko nuts mixed in a seasoned soy sauce. The ingredients are simmered over a long period until the meat has absorbed the full flavor of its sauce."
Âî°³,¿ì··µÈÀåÂî°³,Mud Snail and Soybean Paste Stew,A soybean paste (doenjang) stew with mud snails and vegetables.
Âò,¿ì··Âò,Braised Mud Snails ,Mud snails braised with bean sprouts and vegetables in a dried anchovy broth thickened with flour.
À°·ù,¿ì¼³,Boiled Beef Tongue ,"Beef tongue is a delicacy in Korea. lt is boiled, thinly sliced, and served with other meats and a dipping sauce or added to special soups."
Ã¤¼Ò·ù,¿ì¾û,Burdock ,A root vegetable often served as a side dish with soy sauce.
Á¶¸²,¿ì¾ûÁ¶¸²,Glazed Burdock ,"Burdock simmered in soy sauce, sesame oil, and sugar until glazed and garnished with sesame seeds and red chili pepper threads."
°í¸í,¿ô±â,Toppings ,"Toppings or garnishes, such as fruit or dried meats, used to decorate and add flavor to meal dishes or rice cakes."
À½Ã»·ù,¿ø¼Òº´,Honey Punch with Sweet Rice Balls,A traditional drink made of water and honey with small rice cake balls filled with jujubes (Korean dates) and citron peel.
³ª¹°,¿øÃß¸®³ª¹°,Day Lily Namul ,"Blanched day lily stems seasoned with soybean paste (doenjang), red chili pepper paste, green onions, garlic, sesame oil, and sesame salt. This is a spring dish."
ÇÑ°ú,À¯(¹Ğ)°ú,Deep-fried Grain Cookies ,A variety of traditional cookies made with different kinds of flour and pan-fried or deep-fried. Each variety of cookie has a different name according to its ingredients and how it is cooked. Also called yumilgwa.
°úÀÏ·ù,À¯ÀÚ,Citron ,
ÇÑ°ú,À¯ÀÚÁ¤°ú,Glazed Citron,Citron peel cooked in water then simmered in sugar water until glazed. The citron fruit is added during the glazing process.
À½Ã»·ù,À¯ÀÚÂ÷,Citron Tea,A tea made by adding hot water to a mixture of citron peel and honey or sugar syrup resembling marmalade.
"±¹,ÅÁ",À°°³Àå,Spicy Beef and Leek Soup,"A soup made with beef, green onions, fiddleheads, and other vegetables in a spicy red broth seasoned with red chili pepper powder, garlic, and soy sauce."
¸¶¸¥Âù,À°Æ÷,Dried Beef Jerky,"Thin slices of beef marinated in soy sauce, black pepper, sugar and other seasonings, then dried in the shade. Often served as a dried snack with alcohol."
È¸,À°È¸,Korean Beef Steak Tartare,"Thinly sliced raw beef seasoned with soy sauce, salt and sesame oil. Similar to steak tartare, this dish is usually served with julienned Korean pear and garlic."
¹ä,À°È¸µ¹¼Üºñºö¹ä,Stone Pot Bibimbap with Beef Tartare,"A bibimbap served in a hot stone pot with vegetables and seasoned beef tartare over rice. When served, ail the ingredients are mixed together with a spicy red chili pepper sauce in the sizzling pot."
ÇÑ°ú,À²¶õ,Mashed Chestnut Sweets,"Mashed cooked chestnuts mixed with cinnamon and sugar, molded into chestnut shapes, and rolled in ground pine nuts or cinnamon."
À½Ã»·ù,À²¹«Â÷,YulmuTea,A hot drink made by adding roasted ground Job' s tears (this white powder has a nutty flavor) into hot water with sugar or honey.
¾î·ù,Àº¾î,Sweetfish,
°ß°ú·ù,ÀºÇà,Gingko,
Áõ·ùÁÖ,ÀÌ°­ÁÖ,Igangju,"A liquor made by adding pear juice, ginger juice, honey and water to soju. This liquor is typically produced in February according to the lunar calendar and is famous in Jeonju in Jeolla-do in southwestern Korea and Hwanghae-do in North Korea."
Ã¤¼Ò·ù,ÀÎ»ï,Ginseng,A root famous for its medicinal properties that is also used for cooking. Fresh ginseng is called susam and is served sliced as a special appetizer or dessert. lt can also be made into a juice. Dried ginseng is most often used to make tea or is added to dishes such as soups.
ÇÑ°ú,ÀÎ»ïÁ¤°ú,Candied Ginseng,"Sliced ginseng simmered until soft, then glazed in water with honey, sweet syrup, sugar and salt until candied."
Ã»ÁÖ,ÀÎ»ïÁÖ,Ginseng Wine,Liquor fermented with ground ginseng or flavored by adding a pouch of ginseng to wine that has already been made.
À½Ã»·ù,ÀÎ»ïÂ÷,Ginseng Tea,"A tea traditionally made by simmering ginseng, jujubes (Korean dates), and peeled chestnuts. Recently, an instant powdered version has become widely available. Ginseng tea is served with pine nuts on top."
¶±,ÀÎÀı¹Ì,Sweet Rice Cake,"A rice cake made of steamed glutinous rice that is beaten to make a firm, sticky dough. The rice cake is cut into squares and coated in ground beans or black sesame seeds to prevent them from sticking together and give them flavor."
"±¹,ÅÁ",ÀÓÀÚ¼öÅÁ,Chilled Chicken Soup,"A soup made of chopped chicken, minari(Korean parsley) stems, julienned egg garnish, and ground sesame seeds in a chilled chicken broth."
Âò,À×¾îÂò,Braised Carp,Seasoned carp braised or cooked in boiling water.
È¸,À×¾îÈ¸,Raw Carp,"Freshly cleaned carp filleted, sliced thinly, and served raw."
±¸ÀÌ,ÀÚ¸®µ¼±¸ÀÌ,Grilled Damselfish,Damselfish seasoned with salt or soy sauce and grilled.
È¸,ÀÚ¸®µ¼¹°È¸,Raw Damselfish in Chilled Broth,"Thinly sliced raw damselfish seasoned with sesame leaves, green chili peppers and chives and served in a seasoned chilied broth. A specialty of Jeju-do."
¸¶¸¥Âù,ÀÚ¹İ,Salted Fish,"Various types of fish that have been cleaned, salted and preserved. Served as side dishes."
À½Ã»·ù,ÀÛ¼³Â÷,Sparrow's Tongue Green Tea,"A green tea made with the new leaves of that year. Jakseol literally means ""sparrow's tongue"" and refers to the shape of the tea leaf."
¸é,ÀÜÄ¡±¹¼ö,Banquet Noodles,"A simple noodle dish of thin wheat noodles in a clear broth and topped with julienned egg garnish, sauteed beef, julienned summer squash and mushrooms. This dish was traditionally served at large banquets and feasts."
"Àü,Àû",Àâ´©¸§Àû,Mixed Brochette,"Colorful brochettes made of beef, abalone, sea cucumber, shiitake mushrooms, bellflower root (doraji), and carrots. The ingredients are cut into strips of similar lengths, marinated and pan-fried separately, and put together on skewers."
"Àü,Àû",Àâ»êÀû,Beef and Vegetable Brochette (2),"Brochettes of beef, liver, tripe, green onions and mushrooms. The ingredients are cut into similar lengths, pan-fried with seasonings, and put together on skewers."
³ª¹°,ÀâÃ¤,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets."
°ß°ú·ù,Àã,Pine Nut(s),
ÇÑ°ú,Àã°­Á¤,Pine Nut Cookies,"Cookies made with rice flour that are deep-fried, dipped in sweet syrup, and topped with pine nuts."
ÇÑ°ú,Àã¹Ú»ê,Pine Nut Candy,"A sweet treat made of pine nuts mixed with maltose syrup, sugar and honey and left to harden."
Á×,ÀãÁ×,Pine Nut Porridge,A rice porridge cooked with pine nuts.
¹ä,Àå±¹¹ä,Rice in Beef Soup,"Cooked rice in a hot beef broth, often topped with beef brochettes and julienned egg garnish. This dish originates in Seoul."
±èÄ¡,Àå±èÄ¡,Soy Sauce Kimchi,"A kimchi made with soy sauce. The young leaves in the heart of the cabbage are sliced and mixed with julienned white radish, red chili threads, garlic, green onions, ginger, minari (Korean parsley), and mushrooms. Ali the ingredients are then seasoned together with soy sauce."
"Àü,Àû",Àå¶±,Pan-fried Soybean Paste Patties,"Thin pan-fried patties made with glutinous rice flour, soybean paste (doenjang), minced meat, green onions, garlic, black pepper and sesame seeds."
Á¶¸²,Àå»êÀû,Grilled and Braised Beef,"Beef fillet tenderized with small incisions, seasoned and grilled, then braised in soy sauce and spices."
Àå¾ÆÂî,Àå¾ÆÂî,Pickled Vegetables,"Vegetables pickled in soybean paste (doenjang) or red chili pepper paste and served as a side dish. The most commonly used vegetables include white radish, cucumber, scallions, Korean melons (small yellow melons with a smooth rind), soybean leaves, and green chili peppers."
±¸ÀÌ,Àå¾î±¸ÀÌ,Grilled Freshwater Eel,"Eel marinated in a sauce of red chili pepper paste, soy sauce, sugar, green onions, garlic and sesame oil and grilled. The eel can also be lightly steamed, coated with a mixture of soy sauce and sugar, and then grilled."
Á¶¸²,ÀåÁ¶¸²,Beef Chunks Braised in Soy Sauce,Pieces of beef braised in soy sauce and water until the meat turns dark and salty. The meat is then cut into smaller pieces for serving. This is one of the most traditional and popular beef side dishes.
"±¹,ÅÁ",ÀçÃ¸±¹,Small Clam Soup,"Small clams, steamed and shelled, cooked in a clam broth and seasoned with salt. A specialty of Gyeongsang-do in southeastern Korea."
"Àü,Àû",Àû,Brochette,"Meats and vegetables thinly sliced and put on skewers, dipped in flour and egg, and pan-fried."
"Àü,Àû",Àü,Pan-fried Delicacies,"Small patties of minced meat or chopped vegetables dipped in flour and egg, then pan-fried."
Àü°ñ,Àü°ñ,Hot Pot,"A dish of broth, meat, vegetables, and a variety of seasonings and spices cooked at the table in a wide, shallow pot."
ÆĞ·ù,Àüº¹,Abalone,
Á×,Àüº¹Á×,Rice Porridge with Abalone,A savory rice porridge cooked with minced abalone.
Âò,Àüº¹Âò,Simmered Abalone,"Whole or chopped abalone with beef, sea cucumber, octopus, mussels, mushrooms and spices simmered in seasoned soy sauce and honey."
ÃÊ,Àüº¹ÃÊ,Abalone in Soy Sauce,"Abalone simmered over low heat in a mix of soy sauce, sugar and black pepper."
È¸,Àüº¹È¸,Raw Abalone,Fresh or blanched abalone thinly sliced and served raw with a dipping sauce of either soy sauce and vinegar or vinegared red chili pepper paste.
¹ä,ÀüÁÖºñºö¹ä,Jeonju-style Bibimbap,"A mixed rice dish with a wide variety of blanched and seasoned vegetables, minced beef, and a fried egg served on a bowl of rice, ail mixed together with red chili pepper paste before eating. A popular dish originating in the city of Jeonju."
¶±,ÀıÆí,Patterned Rice Cake,"White rice cakes rolled fiat, pressed with patterned molds, and cut into small squares. The patterned rice cakes are then brushed with oil."
Á£°¥,Á£°¥,Pickled Seafood,Sauce made of various kinds of fish or seafood that have been pickled in salt and fermented. This sauce can be served as a side dish or used as a seasoning for other dishes.
Âî°³,Á£±¹Âî°³,Pickled Shrimp Stew,A stew of pollack roe and dubu (soybean curd / tofu) seasoned with red chili pepper in a pickled shrimp broth.
ÇÑ°ú,Á¤°ú,Candied Fruits or Roots,Traditional sweet treats made of fruits or roots candied in honey or syrup.
±âÅ¸,Á¤½Ä,Set Menu,The set menu of a restaurant; usually the specialty of the house.
À°·ù,Á¦À°,Cooked Pork,Pork. Also refers to thinly sliced cooked pork.
ÆĞ·ù,Á¶°³,Clam (2),
±¹¼ö,Á¶°³±¹¼ö,Noodles in Clam Broth,Home-style noodles made of wheat or bean flour cooked in a clear clam broth.
Á£°¥,Á¶°³Á£,Pickled Small Clams,Shelled clams pickled in salt. Served as a side dish.
"±¹,ÅÁ",(¸ğ½Ã)Á¶°³ÅÁ,Clam Soup (2),"Soup with clams in their shells and vegetables in a clam broth, seasoned with red chili pepper powder."
¾î·ù,Á¶±â,Yellow Croaker (Yellow Corvina),
±¸ÀÌ,Á¶±â±¸ÀÌ,Grilled Yellow Croaker,Croaker salted and grilled.
"±¹,ÅÁ",Á¶±â¸Å¿îÅÁ,Spicy Yellow Croaker Stew,"A spicy red stew with croaker, beef and vegetables."
Á£°¥,Á¶±âÁ£,Pickled Yellow Croaker,Croaker pickled in salt to make a thick fish sauce.
Á¶¸²,Á¶±âÁ¶¸²,Braised Yellow Croaker,"Croaker braised in seasoned soy sauce, green onions and garlic."
ÇÑ°ú,Á¶¶õ,Mashed Jujube Sweets,Steamed and mashed jujubes (Korean dates) mixed with sugar and molded back into their original shape. The balls are rolled in ground pine nuts to hold their shape and prevent them from sticking to each other.
¶±±¹,Á¶·Õ¶±±¹,Rice Ball Pasta Soup,Beef broth soup with rice pasta. A specialty of the Gaeseong region.
Á¶¸²,Á¶¸²,Soy Sauce Braised Dishes,These braised dishes are made by simmering meat or fish in soy sauce and other seasonings.
Á¶¸²,Á·¹ß,Glazed Pig's Feet,"Pig's feet cooked in soy sauce, sugar, ginger and garlic until glazed."
"±¹,ÅÁ",Á·ÅÁ,Ox Foot Soup,A soup of ox feet and beef shank simmered for a long time.
Á·Æí,Á·Æí,Pressed Ox Feet,Ox feet simmered until the meat comes off the bones. The meat is pressed and served thinly sliced with vinegar and soy sauce.
¿¬Ã¼·ù,ÁÖ²Ù¹Ì,Baby Squid,"Smaller than baby octopus, baby squid is usually parboiled and served with a dipping sauce of vinegared red chili pepper paste."
±¸ÀÌ,ÁÖ¹°·°±¸ÀÌ,Grilled Beef with Salt and Sesame Oil,Strips of beef rubbed with salt and sesame oil and grilled.
¶±,ÁÖ¾Ç,Pan-fried Sweet Rice Cake Coated with Honey,"Rice cakes made of glutinous rice flour and natural colorings, stuffed with fillings such as mushrooms, jujubes (Korean dates) and chestnuts, and pan-fried. The fried cakes are dusted with sugar or dipped in honey."
Á×,Á×,Porridge,Porridge made of rice or other grains simmered in water until thick. Served as a main dish or in smaller portions as an appetizer.
Ã¤¼Ò·ù,Á×¼ø,Bamboo Shoots,
ººÀ½,Á×¼øººÀ½,Sauteed Bamboo Shoots,"Bamboo shoots sauteed with pork, green chili peppers, onions, and seasonings."
Âò,Á×¼øÂò,Stuffed Bamboo Shoots,"Bamboo shoots slit lengthwise, stuffed with seasoned beef and mushrooms, and simmered in broth."
³ª¹°,Á×¼øÃ¤,Julienned Bamboo Shoots,"Bamboo shoots cooked in water, thinly sliced, and mixed with vegetables, soy sauce and vinegar. The ingredients may be stir-fried with minced pheasant meat and seasoned with salt instead of soy sauce."
È¸,Á×¼øÈ¸,Parboiled Bamboo Shoots,"Blanched young bamboo shoots cut into thin, wide slices and served with a dipping sauce of vinegared red chili pepper paste."
¾ç³ä,Á×¿°,Bamboo Salt,A flavored salt made by filling a hollow bamboo stem that has been cut into sections with plain salt. The sections are then scorched in a hot oven and the salt is removed for use. This salt is said to have a superior taste and medicinal benefits.
¶±,ÁõÆí,Rice Wine Cake,"Steamed rice cakes made with white rice flour and rice wine. The wine ferments the dough and gives a tangy taste to the cakes. The tops of these white, fluffy cakes are colorfully garnished. Also called sultteok (wine cake)."
°í¸í,Áö´Ü,Egg Garnish,"Egg whites and yolk beaten together or separately, then pan-fried very thinly. The cooked egg is julienned or cut into diamonds, and is used as a topping or garnish for many dishes."
Ã»ÁÖ,Áø´Ş·¡¼ú,Azalea Liquor,A sweet liquor made by adding azalea petals and sugar to soju. Also called dugyeonju.
Àü,Áø´Ş·¡È­Àü,Pan-fried Cake with Azaleas,Small pan-fried fiat rice cakes decorated with azalea flowers. Also called dugyeonhwajeon.
À½Ã»·ù,Áø´Ş·¡È­Ã¤,Azalea Punch,"Azalea petals coated in starch, blanched, then added to a sugared omija (fruit of the Chinese magnolia vine) punch."
Àå¾ÆÂî,Â§¹«,Pickled Radish,Autumn white radishes pickled whole in salt and kept until the following summer.
±èÄ¡,ÂÊÆÄ±èÄ¡,Spring Onion Kimchi,A kimchi made of lightly salted spring onions mixed with kimchi seasonings.
Âî°³,Âî°³,Stew,"Thicker and more strongly flavored than soups, stews can be categorized by the main seasoning (red chili pepper paste stew, soybean paste (doenjang) stew, or pickled shrimp stew) or by their main ingredient (fish stew, dubu stew, or meat stew)."
¸¸µÎ,Âğ¸¸µÎ,Steamed Dumplings,Dumplings cooked in a steamer.
Âò,Âò,"Braised, Simmered or Steamed Dishes","The main ingredients, either meat or fish, are seasoned and simmered until the liquid is reduced and the ingredients take on the full flavor of the seasoning."
¹ä,Âû¹ä,Cooked Sweet Rice,"Cooked sweet rice with red beans, jujubes (Korean dates), and chestnuts. Sugar, soy sauce and sesame oil are added to bring out the flavor."
¾ç³ä,Âü±â¸§,Sesame Oil,Oil pressed from roasted sesame seeds. One of the main seasonings in Korean cooking.
¾ç³ä,Âü±ú,Sesame (Seeds)(2),Sesame seeds are an indispensable ingredient in Korean cooking. They are either roasted and used directly or ground with a little salt.
Ã¤¼Ò·ù,Âü³ª¹°,Cham Namul,"A wild leafy green with a strong scent, blanched or served fresh with various seasonings as a side dish."
°úÀÏ·ù,Âü¿Ü,Korean Honey Melon,"A small, oval melon with a smooth, yellow rind and white ridges running lengthwise. Along with the watermelon, this is one of the most common summer fruits."
°î·ù,Âı½Ò,Sweet Rice,Sweet rice is stickier than plain white rice and is often used to make rice cake.
¶±,Âı½ÒºÎ²Ù¹Ì,Pan-fried Sweet Rice Cake with Fillings,"Round, fiat cakes made with glutinous rice flour that are pan-fried, folded in half, and stuffed with a variety of fillings."
Á£°¥,Ã¢¶õÁ£,Pickled Pollack Innards,"Pollack innards cleaned and preserved in a sauce of red chili pepper powder, garlic and ginger. After fermentation, this dish becomes a salty side dish."
Á×,Ã¤¼ÒÁ×,Rice Porridge with Vegetables,"A rice porridge made with vegetables such as summer squash, green onions, bean sprouts, and pumpkin."
¸¶¸¥Âù,Ã¤¼ÒÆ¢±è,Deep-fried Vegetables,Vegetables dipped in a flour batter and deep-fried.
È¸,Ãµ¿±È¸,Beef Tripe Tartare,"Beef tripe washed clean with salt then cut into thin strips and served raw. The pieces are dipped in a mixture of salt, black pepper and sesame oil before eating."
ÇØÁ¶·ù,Ã»°¢,Sea Staghorn,"A type of sea plant used as a topping for traditional water kimchi. lt can also be blanched, then seasoned and served as a side dish."
Âî°³,Ã»±¹ÀåÂî°³,Cheonggukjang (Extra Strong Soybean Paste) Stew,"A stew made with a thick soybean paste called cheonggukjang (similar to Japanese natto) with dubu (soybean curd / tofu), fully fermented kimchi, and pork. This paste is thicker and has a stronger smell than the regular soybean paste (doenjang). Also called dambukjang-jjigae."
±¸ÀÌ,Ã»¾î±¸ÀÌ,Grilled Herring,Herring sprinkled with salt or marinated in a spiced soy sauce and grilled.
Ã»ÁÖ,Ã»ÁÖ,Clear Rice Wine (2),"A clear, refined rice wine made from a thicker rice wine that has been strained several times. This type of rice wine is similar to Japanese sake."
¾ç³ä,ÃÊ°£Àå,Vinegared Soy Sauce,A mixture of soy sauce and vinegar. This tangy dipping sauce is served with fish dishes or pan-fried vegetables and meat patties.
¾ç³ä,ÃÊ°íÃßÀå,Red Chili Pepper Paste with Vinegar,Red chili pepper paste mixed with vinegar and sugar to make a more liquid dipping sauce with a sweet and sour taste. This sauce is most commonly served with raw fish dishes.
"±¹,ÅÁ",ÃÊ±³ÅÁ,Battered Meat and Vegetable Soup,"A soup with chicken, beef, shiitake mushrooms, bellflower root (dorajij and minari (Korean parsley) which have been seasoned, dipped in a fleur batter, and cooked in broth."
±èÄ¡,ÃÑ°¢±èÄ¡,Whole Radish Kimchi,"A kimchi made of young white radishes used whole with the stems and leaves. The radishes are seasoned with red chili pepper powder, green onions, garlic, ginger and fish sauce, then left to cure. lt literally means bachelor kimchi, because the stems are reminiscent of the long ponytails of unmarried men in traditional times. Also called altari kimchi."
"±¹,ÅÁ",Ãß¾îÅÁ,Loach Soup,"A thick, strongly flavored soup made of fresh loach simmered with vegetables, soybean paste (doenjang), and red chili pepper paste."
³ª¹°,Ãë³ª¹°,Wild Aster Namul,A side dish made with blanched wild aster (a vegetable found in the mountains) that has been seasoned or stir-fried with other ingredients.
¸¶¸¥Âù,Ä¥º¸ÆíÆ÷,Ground Beef Jerky with Pine Nuts,Dried ground beef jerky garnished with pine nuts.
À½Ã»·ù,Ä¦Â÷,Arrowroot Tea,A tea made with the juice pressed from wild arrowroot. Powdered arrowroot can also be used.
¸é,Ä®±¹¼ö,Home-style Noodle Soup,"A soup made of wheat flour noodles flattened and cut by hand, served in a hot chicken or beef broth and topped with clams, julienned summer squash, and a seasoning sauce."
Âò,ÄÚ´Ù¸®Âò,Simmered Half-dried Pollack,"Half-dried pollack marinated in a sauce of red chili pepper paste, soy sauce, sugar, green onions, ginger, sesame oil and black pepper, then simmered over low heat."
µÎ·ù,Äá,Bean (Soybean),"Soybeans are used to make soy sauce, dubu (soybean curd / tofu), and oil."
"±¹,ÅÁ",Äá±¹,Chilled White Bean Soup,"A soup made with white soybeans that have been soaked for five to six hours, drained, boiled, and then pureed. The puree is strained to make this creamy, chilled soup."
¸é,Äá±¹¼ö,Noodles in Chilled White Bean Soup,Chilled white bean soup made of pureed soybeans served with noodles and garnished. with julienned cucumber and watermelon. Sometimes white sesame seeds are added to the puree. This dish is eaten in the hot summer.
³ª¹°,Äá³ª¹°,Soybean Sprout Namul,Sprouts about 5-7 centimeters long made from soybeans soaked in water. An inexpensive and popular ingredient for many Korean dishes.
"±¹,ÅÁ",Äá³ª¹°±¹,Soybean Sprout Soup,A clear soup with soybean sprouts.
¹«Ä§,Äá³ª¹°¹«Ä§,Seasoned Soybean Sprout Namul,"Blanched bean sprouts seasoned with green onions, garlic, soy sauce and sesame oil. This is one of the most common side dishes served in Korean homes."
¹ä,Äá³ª¹°¹ä,Rice Cooked with Soybean Sprouts,White rice cooked with soybean sprouts.
³ª¹°,Äá³ª¹°ÀâÃ¤,Soybean Sprouts with Vegetable Medley,"A vegetable medley made of soybean sprout stems, fresh bellflower root, fiddlehead, sliced Korean pear, white radish and carrots tossed with a seasoning of green onions, garlic, vinegar, red chili pepper powder, salt and ground pine nuts. A regional specialty of southwestern Korea."
¶±,Äá(Âû)¶±,Sweet Rice Cake with Beans,Steamed rice cake made with glutinous rice flour and black beans. Sometimes made by adding white rice flour to bean flour and water.
¹ä,Äá¹ä,Cooked Rice with Beans,"Rice cooked with various beans, such as black beans, green peas, or kidney beans. Served as an alternative to plain white rice."
±èÄ¡,ÄáÀÙ±èÄ¡,Soybean Leaf Kimchi,A variation of kimchi made of salted soybean leaves mixed with sliced radish and fish sauce and laid between the cabbage leaves.
Á¶¸²,ÄáÀÚ¹İ / ÄáÁ¶¸²,Glazed Black Beans,A side dish made of black beans simmered in soy sauce and sugar until glazed.
Á×,ÄáÁ×,Bean and Rice Porridge,A rice porridge made with soybeans that have been soaked in water and pureed.
±¸ÀÌ,ÄáÆÏ±¸ÀÌ,Grilled Beef Kidney,"Beef kidney seasoned with salt and sesame oil, then grilled."
"±¹,ÅÁ",ÅÁ,Soup,The traditional word referring to soup. Dishes with names that end in ~tang are all soups that have been simmered for a long time over low heat.
³ª¹°,ÅÁÆòÃ¤,Mung Bean Jelly Mixed with Vegetables and Beef,"Slices of mung bean jelly mixed with vegetables, dried laver, and seasoned ground beef. Served cold."
"±¹,ÅÁ",Åä¶õ±¹ / Åä¶õÅÁ,Taro Soup,Soup of taro (a root vegetable) lightly cooked in water before adding beef and kelp.
Âò,Åä¶õÁÙ±âÂò,Braised Taro Stems,"Dried taro stems that have been soaked in water, dipped in flour batter, and braised with green onions, garlic and other spices."
"±¹,ÅÁ",ÅäÀå±¹,Thick Soybean Paste Soup,A thick soup made of one part soybean paste (doenjang) and red chili pepper paste added to five parts water. Vegetables added to this soup vary according to the region and the season.
Á£°¥,ÅäÇÏÁ£,Pickled Freshwater Shrimps,"A fish sauce made of freshwater shrimps pickled in salt, red chili pepper powder and sometimes green chili peppers, garlic, green onions and sesame seeds."
³ª¹°,Åê³ª¹°,Seasoned Bushy Seaweed,A fresh side dish made of a bushy brown seaweed that has been blanched and seasoned.
±¸ÀÌ,Åë´ß±¸ÀÌ,Grilled Whole Chicken,Grilled chicken served with either a spicy chili sauce or soy sauce.
±èÄ¡,Åë¹èÃß±èÄ¡,Whole Chinese Cabbage Kimchi,"The basic kimchi made in large quantities in early winter. Whole Chinese cabbages are first salted and then a kimchi sauce made of julienned white radish, red chili pepper powder, garlic, green onions, and fish sauce is spread between the layers of cabbage leaves. The seasoned cabbages are put in earthenware jars and left to cure for some time before eating. Also called pogi¡©kimchi."
¸¶¸¥Âù,Æ¢°¢,Deep-fried Seaweed or Vegetables,"Deep-fried seaweed or the leaves and stems of various vegetables, served as a crispy snack or a side dish. Dried seaweed is the most popular ingredient for this dish."
ÇÑ°ú,Æ¢¹ä,Puffed Rice,Crispy rice flakes puffed like popcorn.
Ã¤¼Ò·ù,ÆÄ,Green Onion (Spring Onion),"Along with garlic, green onions are an integral part of Korean cooking and are chopped and used to flavor most Korean dishes, including meats, fish and vegetables. Green onions are also cooked whole in pajeon (green onion pancake) and pa-kimchi (a variation of kimchi made with green onions instead of cabbage)."
È¸,ÆÄ°­È¸,Meat and Vegetable Bundles Tied with Green Onion,"Bundles of meat, chili peppers, and julienned egg garnish tied with blanched green onions and topped with pine nuts. Served with a dipping sauce of vinegared red chili pepper paste."
±èÄ¡,ÆÄ±èÄ¡,Green Onion Kimchi,"A kimchi made with lightly salted green onions seasoned with pickled anchovy sauce, garlic and red chili pepper powder."
ÇØÁ¶·ù,ÆÄ·¡,Grassy Seaweed,"A dark green grass-like seaweed that grows in small bunches. lt is used fresh, seasoned and dried, deep-fried, and put in soups."
¹«Ä§,ÆÄ·¡¹«Ä§,Seasoned Grassy Seaweed,"Blanched grassy seaweed seasoned with soy sauce, sugar and black pepper, or a mixture of pickled anchovy sauce, garlic, green onions and red chili pepper powder."
"±¹,ÅÁ",ÆÄ·§±¹ / ÆÄ·¡µÈÀå±¹,Grassy Seaweed Soup with Soybean Paste,A soup of grassy seaweed in a broth made of dried anchovies and soybean paste (doenjang). A regional specialty of Jeju-do.
"Àü,Àû",ÆÄÀü,Green Onion Pancake,"Pancakes made of an egg, wheat flour and rice flour batter pan-fried with green onions, chives, beef, clams, mussels and other ingredients."
»ıÃ¤,ÆÄÃ¤,Seasoned Green Onion,"Finely copped green onions mixed with red chili pepper powder, soy sauce, vinegar, sesame salt and sesame oil. This dish is used to garnish or accompany grilled or pressed meats and is most common in southeastern Korea."
"±¹,ÅÁ",ÆÌ±¹,Green Onion Soup,A soup of beef broth with chopped green onions. A beaten egg is added to the soup just before serving.
°î·ù,ÆÏ,Red Bean(s),
¶±,ÆÏ(½Ã·ç)¶±,Red Bean Rice Cake,A crumbly rice cake made of layers of rice flour and ground red bean steamed together and cut into squares. This is the most common type of steamed rice cake.
¹ä,ÆÏ¹ä,Rice with Red Beans,Rice cooked with red beans to give it flavor and color. The red beans are steamed in advance then cooked again with the rice.
Á×,ÆÏÁ×,Rice and Red Bean Porridge,"A rice porridge made with red beans. After boiling the beans, they are strained to produce a liquid which is added to the cooked rice porridge. Sometimes small rice balls are added . This dish is made specially to celebrate the winter solstice."
±¸ÀÌ,ÆĞÁÖ±¸ÀÌ,Grilled Scallops,Seasoned scallops often grilled with beef and mushrooms.
